11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,12,12,12,1,12,12,15,15,15,15,15,15
11,11,11,11,1,1,2,1,2,1,14,14,14,14,3,14
11,11,11,11,1,1,2,1,2,1,14,14,14,14,3,14
11,11,11,11,1,1,2,1,2,1,14,14,14,14,3,14
11,11,11,11,1,1,2,1,2,1,14,14,14,14,5,14
11,11,11,11,1,1,12,1,12,1,14,14,14,14,8,14
11,11,11,11,1,1,12,1,12,1,14,14,14,14,5,14
11,11,11,11,1,1,12,12,12,1,14,14,14,14,6,14
