11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,11,11,12,12,12,1,12,12,15,15,15,15,15,15
11,11,11,11,1,1,2,1,2,1,14,14,14,14,16,14
11,11,11,11,1,1,2,1,2,1,14,14,14,14,16,14
11,11,11,11,1,1,2,1,2,1,14,14,14,14,16,14
11,11,11,11,1,1,2,1,2,1,14,14,14,14,16,14
11,11,11,11,1,1,12,1,12,1,14,14,14,14,16,14
11,11,11,11,1,1,12,1,12,1,14,14,14,14,16,14
11,11,11,11,1,1,12,12,12,1,14,14,14,14,16,14
